Id,Brand,Product,Quantity,Price,MRP,rebate,stock,Category,image_small
82,Golden Prize,Canned Skipjack Light Meat Tuna - Chunk In Brine,185 g ,185,185,0,100,eggs meat fish,https://www.bigbasket.com/media/uploads/p/l/40037990_8-golden-prize-canned-skipjack-light-meat-tuna-chunk-in-brine.jpg
83,Golden Prize,Tuna Salad With Vegetables Mexican Style,185 g ,185,185,0,100,eggs meat fish,https://www.bigbasket.com/media/uploads/p/l/40153413_5-golden-prize-tuna-salad-with-vegetables-mexican-style.jpg
84,Ifb,Fresh Catch Prawns - Small,200 g Approx 80 ,165,185,0,100,eggs meat fish,https://www.bigbasket.com/media/uploads/p/l/40004055_5-ifb-fresh-catch-prawns-small.jpg
85,Fresho,"Mutton Goatkid - Curry Cut, From Whole Carcass, Tender & Juicy",1 Kg ,1059,1380,0,100,eggs meat fish,https://www.bigbasket.com/media/uploads/p/l/40227648_1-fresho-mutton-goatkid-curry-cut-from-whole-carcass-tender-juicy.jpg
86,Fresho,"Mutton Goatkid - Steak, Fresh & Tender",1 Kg ,1109,1441.7,0,100,eggs meat fish,https://www.bigbasket.com/media/uploads/p/l/40227674_1-fresho-mutton-goatkid-steak-fresh-tender.jpg
87,Fresho,"Chicken - Mince, Antibiotic Residue-Free",250 g  ,139,185,0,100,eggs meat fish,https://www.bigbasket.com/media/uploads/p/l/10000907_9-fresho-chicken-mince-antibiotic-residue-free.jpg
88,Fresho,Chicken Wings - Antibiotic Residue-Free,500 g  ,139,185,0,100,eggs meat fish,https://www.bigbasket.com/media/uploads/p/l/40192505_2-fresho-chicken-wings-antibiotic-residue-free.jpg
89,Danish,Premium Mutton Mexican Samosa,200 g ,185,185,0,100,eggs meat fish,https://www.bigbasket.com/media/uploads/p/l/40114989_5-danish-premium-mutton-mexican-samosa.jpg
90,sumeru,Chicken Leg Meat Boneless,400 g Tray,196,196,0,100,eggs meat fish,https://www.bigbasket.com/media/uploads/p/l/40211104_1-sumeru-chicken-leg-meat-boneless.jpg
91,MAGGI ,Maggi Sauce Hot & Sweet 500g + Nutri Licious Pazzta Cheese Macaroni 70g,Combo 2 Items,138.94,143,0,100,snacks branded foods,https://www.bigbasket.com/media/uploads/p/l/1200518_1-maggi-maggi-sauce-hot-sweet-500g-nutri-licious-pazzta-cheese-macaroni-70g.jpg
92,Sunfeast,YiPPee Mood Masala Noodles - Family Pack,2x280 g (Multipack) ,101.27,116,0,100,snacks branded foods,https://www.bigbasket.com/media/uploads/p/l/1202657_4-sunfeast-yippee-mood-masala-noodles-family-pack.jpg
93,Ching'S Secret,Schezwan Instant Noodles,480 g (Pack of 8),85.5,114,0,100,snacks branded foods,https://www.bigbasket.com/media/uploads/p/l/40206236_1-chings-secret-schezwan-instant-noodles.jpg
94,Veeba,Bhut Jolokia Extra Hot Sauce,300 g Pet Jar,129,129,0,100,snacks branded foods,https://www.bigbasket.com/media/uploads/p/l/40161671_1-veeba-bhut-jolokia-extra-hot-sauce.jpg
95,Graminway,Aam Ka Achar,200 g ,129,129,0,100,snacks branded foods,https://www.bigbasket.com/media/uploads/p/l/40147702_1-graminway-aam-ka-achar.jpg
96,Nutty Yogi,Zero Oil Mango Pickle,200 g ,119.97,129,0,100,snacks branded foods,https://www.bigbasket.com/media/uploads/p/l/40112337_2-nutty-yogi-zero-oil-mango-pickle.jpg
97,Nutty Yogi,Pickle - Sweet Lemon,200 g ,119.97,129,0,100,snacks branded foods,https://www.bigbasket.com/media/uploads/p/l/40112338_2-nutty-yogi-pickle-sweet-lemon.jpg
98,Nutty Yogi,Grandma Mango Pickle,200 g ,119.97,129,0,100,snacks branded foods,https://www.bigbasket.com/media/uploads/p/l/40112335_1-nutty-yogi-grandma-mango-pickle.jpg
99,GoodDiet,Nutrition Energy Bar - Cocoa Coconut & Almonds,3x40 g Multipack ,129.01,156,0,100,snacks branded foods,https://www.bigbasket.com/media/uploads/p/l/1205655_1-gooddiet-nutrition-energy-bar-cocoa-coconut-almonds.jpg
